0	male who appears age-appropriate and in no distress.
0	 Patient discharged to home, ambulating without assistance, friend driving, unaccompanied, Discharge instructions given to patient.
0	Spine: No tenderness to palpation or percussion along the spine.
0	 The patient has not had  fever, hearing loss, drainage from the effected ear, a change in sleep pattern, a change in activity.
0	The patient agreed to participate in the KPD program.
0	 No: other symptoms with chest pain nausea or vomiting present; other symptoms with chest pain new shortness of breath; other symptoms with chest pain profuse sweating or other symptoms with chest pain feel light-headed
0	 Patient discharged to home, ambulating without assistance, driving self, unaccompanied, Discharge instructions given to patient, Prescriptions given and instructions on side effects given, Above person(s) verbalized understanding of discharge instructions and follow-up care.
0	 Identified Illness as a learning need, Patients primary language is English, No Barriers to learning were identified, No interventions were used to address Barriers to Learning, Teaching methods used included Verbal Instructions.
0	The home is multi-level and the patient will require assistance with the stairs.
0	 No: new confusion or inability to stay alert and awake; noisy, wheezy or raspy breathing that does not clear with coughing; newly stiff or painful neck; purple or red rash/blotches that stay when pressed by a glass (purpural rash); currently feeling like you are going to collapse every time you stand (sit); muffled voice or inability to open mouth fully or complete inability to swallow
1	 Insulin Aspart [NOVOLOG] 100 unit/mL solution 12 units subcutaneous as directed by prescriber.
0	 Patient discharged to home, ambulating without assistance, driving self, unaccompanied, Discharge instructions given to patient, Simple or moderate discharge teaching performed, by Tony RN.
1	omeprazole [PRILOSEC] 40 mg capsule enteric coated 1 capsule by mouth every morning.
0	Explained diagnosis and treatment plan; patient/parents expressed understanding of the content.
1	Contrave 8-90 mg tablet sustained release by mouth as directed by prescriber.
0	 Eyes and Vision: No pain, redness, excessive tearing, glaucoma, cataracts, double vision, blurred vision, flashing lights, specks.
0	 Identified Illness as a learning need, Glasses for vision identified as a Barrier to Learning, No interventions were used to address Barriers to Learning, Teaching methods used included Printed Patient Instructions.
0	 Discussed risks, goals, alternatives, advance directives, and the necessity of other members of the healthcare team participating in the procedure with the patient and his mother.
0	 The segment was resected, the cut ends cauterized, and a small pocket was made along each cut end of the vas into which the cut end was tucked.
0	 Ready to learn, no apparent learning barriers were identified in the family/caregiver; learning preferences include listening.
0	Parent comfortable with information and will call back with any other questions or concerns.
0	Patient will demonstrate and/or verbalize understanding of home exercise program in 1 sessions for improved self management of the condition.
0	male who presents today for a skin examination.
0	 Negative gastrointestinal review of systems, Historian denies abdominal pain, diarrhea, nausea, vomiting.
